PRODUCT_CODE,PRODUCT_VARIANT,PRODUCT_COLOR,Unnamed: 5,Unnamed: 6,PRODUCT_NAME,PRODUCT_TYPE,PRODUCT_PACKING_INFO,PRODUCT_ATTRIBUTES,UTS,MATCHED_FILE_PATH
2LC,4,A35,00Y0,#CLA35##PR01#,NOVA GLASS II LC,"RADYOPAK, IŞIKLA SERTLEŞEN, REZIN MODIFIYE KAPSÜL CAM İYONOMER DOLGU SIMANI",NOVA GLASS II LC 50 CAPSULE + 5 ML COAT IŞINLI CAM ION DOLGU SİMANI,RENK: A3.5   IFU: E   ,KAYITLI,C:\Users\orcun\Desktop\codebase\instructions\NOVA_GLASS_LC.txt
BAP,1,001,00Y0,#AKB##PR01#,IMIBOND AQUA P,POLIKARBOKSILAT SIMAN,IMIBOND AQUA-P POLYCABOXYLATE CEMENT 50 GR (WITH USING WATER),BAP AKSESUAR TABLOSU IMIBOND AQUA P: BOS SISE   IFU: E   ,KAYITLI,C:\Users\orcun\Desktop\codebase\instructions\IMIBOND_AQUA_P.txt
BAP,1,002,00Y0,#AKD##PR01#,IMIBOND AQUA P,POLIKARBOKSILAT SIMAN,IMIBOND AQUA-P POLYCABOXYLATE CEMENT 50 GR (WITH USING WATER),BAP AKSESUAR TABLOSU IMIBOND AQUA P: DISTILE SU   IFU: E   ,KAYITLI,C:\Users\orcun\Desktop\codebase\instructions\IMIBOND_AQUA_P.txt
BAS,1,000,00Y0,#PR01#,IMIBASE,KAIDE VE KAŞIK AKRILIĞI MALZEMESI,IMIBASE KAİDE KAŞIK AKR. 500 GR,IFU: E   ,KAYITLI,C:\Users\orcun\Desktop\codebase\instructions\IMIBASE_LİKİT.txt
BAS,2,000,00Y0,#PR01#,IMIBASE,KAIDE VE KAŞIK AKRILIĞI MALZEMESI,IMIBASE KAİDE KAŞIK AKR. 4 KG,IFU: E   ,KAYITLI,C:\Users\orcun\Desktop\codebase\instructions\IMIBASE_LİKİT.txt
BDF,1,000,00Y0,#PR01#,IMIBOND-F,ÇİNKO FOSFAT SİMAN,IMIBOND-F FOSFAT SİMAN SETİ (80GR/55GR),IFU: E   ,KAYITLI,C:\Users\orcun\Desktop\codebase\instructions\IMIBOND_P.txt
BDP,1,000,00Y0,#PR01#,IMIBOND-P,POLİKARBOKSİLAT SİMAN,IMIBOND-P POLİKARBOKSİLAT SİMAN SET (80GR/50GR),IFU: E   ,KAYITLI,C:\Users\orcun\Desktop\codebase\instructions\IMIBOND_P.txt
BDP,2,000,00Y0,#PR01#,IMIBOND-P,POLİKARBOKSİLAT SİMAN,IMIBOND-P POLY. SİMAN TOZ 80GR,IFU: E   ,KAYITLI,C:\Users\orcun\Desktop\codebase\instructions\IMIBOND_P.txt
BDP,3,000,00Y0,#PR01#,IMIBOND-P,POLİKARBOKSİLAT SİMAN,IMIBOND-P POLY. SİMAN LİKİTİ 50GR,IFU: E   ,KAYITLI,C:\Users\orcun\Desktop\codebase\instructions\IMIBOND_P.txt
BFC,1,000,CAY0,#PR01##UC11#,BIOFACTOR ,KANAL DOLGU VE TAMIR MALZEMESI,BIOFACTOR MTA 9 DOSE POWDER:4X0.2G + 1X1G + LIQUID:2.5 ML ,IFU: E   UÇ SAYISI: UÇ SİYAH ELEPHANT+METAL SİYAH 5+5 IMI:1+2:CA   ,KAYITLI,C:\Users\orcun\Desktop\codebase\instructions\Biofactor_Putty.txt
BFC,1,000,DCY0,#PR01##UC18#,BIOFACTOR ,KANAL DOLGU VE TAMIR MALZEMESI,BIOFACTOR MTA 9 DOSE POWDER:4X0.2G + 1X1G + LIQUID:2.5 ML ,IFU: E   UÇ SAYISI: UÇ MAVİ ELEPHANT+METAL SİYAH 10+5 IMI:1+2:DC   ,KAYITLI,C:\Users\orcun\Desktop\codebase\instructions\Biofactor_Putty.txt
BFC,1,000,CEY0,#PR01##UC15#,BIOFACTOR ,KANAL DOLGU VE TAMIR MALZEMESI,BIOFACTOR MTA 9 DOSE POWDER:4X0.2G + 1X1G + LIQUID:2.5 ML ,IFU: E   UÇ SAYISI: UÇ SİYAH ELEPHANT+METAL SİYAH 15+15 IMI:1+2:CE   ,KAYITLI,C:\Users\orcun\Desktop\codebase\instructions\Biofactor_Putty.txt
BFC,1,000,CDY0,#PR01##UC14#,BIOFACTOR ,KANAL DOLGU VE TAMIR MALZEMESI,BIOFACTOR MTA 9 DOSE POWDER:4X0.2G + 1X1G + LIQUID:2.5 ML ,IFU: E   UÇ SAYISI: UÇ SİYAH ELEPHANT+METAL SİYAH 10+10 IMI:1+2:CD   ,KAYITLI,C:\Users\orcun\Desktop\codebase\instructions\Biofactor_Putty.txt
BFC,1,000,DEY0,#PR01##UC20#,BIOFACTOR ,KANAL DOLGU VE TAMIR MALZEMESI,BIOFACTOR MTA 9 DOSE POWDER:4X0.2G + 1X1G + LIQUID:2.5 ML ,IFU: E   UÇ SAYISI: UÇ MAVİ ELEPHANT+METAL SİYAH 15+15 IMI:1+2:DE   ,KAYITLI,C:\Users\orcun\Desktop\codebase\instructions\Biofactor_Putty.txt
BFC,1,000,DBY0,#PR01##UC17#,BIOFACTOR ,KANAL DOLGU VE TAMIR MALZEMESI,BIOFACTOR MTA 9 DOSE POWDER:4X0.2G + 1X1G + LIQUID:2.5 ML ,IFU: E   UÇ SAYISI: UÇ MAVİ ELEPHANT+METAL SİYAH 5+10 IMI:1+2:DB   ,KAYITLI,C:\Users\orcun\Desktop\codebase\instructions\Biofactor_Putty.txt
BFC,1,000,DAY0,#PR01##UC16#,BIOFACTOR ,KANAL DOLGU VE TAMIR MALZEMESI,BIOFACTOR MTA 9 DOSE POWDER:4X0.2G + 1X1G + LIQUID:2.5 ML ,IFU: E   UÇ SAYISI: UÇ MAVİ ELEPHANT+METAL SİYAH 5+5 IMI:1+2:DA   ,KAYITLI,C:\Users\orcun\Desktop\codebase\instructions\Biofactor_Putty.txt
BFC,1,000,CCY0,#PR01##UC13#,BIOFACTOR ,KANAL DOLGU VE TAMIR MALZEMESI,BIOFACTOR MTA 9 DOSE POWDER:4X0.2G + 1X1G + LIQUID:2.5 ML ,IFU: E   UÇ SAYISI: UÇ SİYAH ELEPHANT+METAL SİYAH 10+5 IMI:1+2:CC   ,KAYITLI,C:\Users\orcun\Desktop\codebase\instructions\Biofactor_Putty.txt
BFC,1,000,DDY0,#PR01##UC19#,BIOFACTOR ,KANAL DOLGU VE TAMIR MALZEMESI,BIOFACTOR MTA 9 DOSE POWDER:4X0.2G + 1X1G + LIQUID:2.5 ML ,IFU: E   UÇ SAYISI: UÇ MAVİ ELEPHANT+METAL SİYAH 10+10 IMI:1+2:DD   ,KAYITLI,C:\Users\orcun\Desktop\codebase\instructions\Biofactor_Putty.txt
BFC,1,000,CBY0,#PR01##UC12#,BIOFACTOR ,KANAL DOLGU VE TAMIR MALZEMESI,BIOFACTOR MTA 9 DOSE POWDER:4X0.2G + 1X1G + LIQUID:2.5 ML ,IFU: E   UÇ SAYISI: UÇ SİYAH ELEPHANT+METAL SİYAH 5+10 IMI:1+2:CB   ,KAYITLI,C:\Users\orcun\Desktop\codebase\instructions\Biofactor_Putty.txt
BFC,2,000,CAY0,#PR01##UC11#,BIOFACTOR ,KANAL DOLGU VE TAMIR MALZEMESI,BIOFACTOR MTA SINGLE DOSE POWDER:0.2G + LIQUID:1.5ML,IFU: E   UÇ SAYISI: UÇ SİYAH ELEPHANT+METAL SİYAH 5+5 IMI:1+2:CA   ,KAYITLI,C:\Users\orcun\Desktop\codebase\instructions\Biofactor_Putty.txt
BFC,2,000,CDY0,#PR01##UC14#,BIOFACTOR ,KANAL DOLGU VE TAMIR MALZEMESI,BIOFACTOR MTA SINGLE DOSE POWDER:0.2G + LIQUID:1.5ML,IFU: E   UÇ SAYISI: UÇ SİYAH ELEPHANT+METAL SİYAH 10+10 IMI:1+2:CD   ,KAYITLI,C:\Users\orcun\Desktop\codebase\instructions\Biofactor_Putty.txt
BFC,2,000,CEY0,#PR01##UC15#,BIOFACTOR ,KANAL DOLGU VE TAMIR MALZEMESI,BIOFACTOR MTA SINGLE DOSE POWDER:0.2G + LIQUID:1.5ML,IFU: E   UÇ SAYISI: UÇ SİYAH ELEPHANT+METAL SİYAH 15+15 IMI:1+2:CE   ,KAYITLI,C:\Users\orcun\Desktop\codebase\instructions\Biofactor_Putty.txt
BFC,2,000,DDY0,#PR01##UC19#,BIOFACTOR ,KANAL DOLGU VE TAMIR MALZEMESI,BIOFACTOR MTA SINGLE DOSE POWDER:0.2G + LIQUID:1.5ML,IFU: E   UÇ SAYISI: UÇ MAVİ ELEPHANT+METAL SİYAH 10+10 IMI:1+2:DD   ,KAYITLI,C:\Users\orcun\Desktop\codebase\instructions\Biofactor_Putty.txt
BFC,2,000,CCY0,#PR01##UC13#,BIOFACTOR ,KANAL DOLGU VE TAMIR MALZEMESI,BIOFACTOR MTA SINGLE DOSE POWDER:0.2G + LIQUID:1.5ML,IFU: E   UÇ SAYISI: UÇ SİYAH ELEPHANT+METAL SİYAH 10+5 IMI:1+2:CC   ,KAYITLI,C:\Users\orcun\Desktop\codebase\instructions\Biofactor_Putty.txt
BFC,2,000,CBY0,#PR01##UC12#,BIOFACTOR ,KANAL DOLGU VE TAMIR MALZEMESI,BIOFACTOR MTA SINGLE DOSE POWDER:0.2G + LIQUID:1.5ML,IFU: E   UÇ SAYISI: UÇ SİYAH ELEPHANT+METAL SİYAH 5+10 IMI:1+2:CB   ,KAYITLI,C:\Users\orcun\Desktop\codebase\instructions\Biofactor_Putty.txt
BFC,2,000,DEY0,#PR01##UC20#,BIOFACTOR ,KANAL DOLGU VE TAMIR MALZEMESI,BIOFACTOR MTA SINGLE DOSE POWDER:0.2G + LIQUID:1.5ML,IFU: E   UÇ SAYISI: UÇ MAVİ ELEPHANT+METAL SİYAH 15+15 IMI:1+2:DE   ,KAYITLI,C:\Users\orcun\Desktop\codebase\instructions\Biofactor_Putty.txt
BFC,2,000,DCY0,#PR01##UC18#,BIOFACTOR ,KANAL DOLGU VE TAMIR MALZEMESI,BIOFACTOR MTA SINGLE DOSE POWDER:0.2G + LIQUID:1.5ML,IFU: E   UÇ SAYISI: UÇ MAVİ ELEPHANT+METAL SİYAH 10+5 IMI:1+2:DC   ,KAYITLI,C:\Users\orcun\Desktop\codebase\instructions\Biofactor_Putty.txt
BFC,2,000,DBY0,#PR01##UC17#,BIOFACTOR ,KANAL DOLGU VE TAMIR MALZEMESI,BIOFACTOR MTA SINGLE DOSE POWDER:0.2G + LIQUID:1.5ML,IFU: E   UÇ SAYISI: UÇ MAVİ ELEPHANT+METAL SİYAH 5+10 IMI:1+2:DB   ,KAYITLI,C:\Users\orcun\Desktop\codebase\instructions\Biofactor_Putty.txt
BFC,2,000,DAY0,#PR01##UC16#,BIOFACTOR ,KANAL DOLGU VE TAMIR MALZEMESI,BIOFACTOR MTA SINGLE DOSE POWDER:0.2G + LIQUID:1.5ML,IFU: E   UÇ SAYISI: UÇ MAVİ ELEPHANT+METAL SİYAH 5+5 IMI:1+2:DA   ,KAYITLI,C:\Users\orcun\Desktop\codebase\instructions\Biofactor_Putty.txt
BFC,4,000,CAY0,#PR01##UC11#,BIOFACTOR ,KANAL DOLGU VE TAMIR MALZEMESI,BIOFACTOR MTA 7 DOSE (1x1g),IFU: E   UÇ SAYISI: UÇ SİYAH ELEPHANT+METAL SİYAH 5+5 IMI:1+2:CA   ,KAYITLI,C:\Users\orcun\Desktop\codebase\instructions\Biofactor_Putty.txt
BFC,4,000,DDY0,#PR01##UC19#,BIOFACTOR ,KANAL DOLGU VE TAMIR MALZEMESI,BIOFACTOR MTA 7 DOSE (1x1g),IFU: E   UÇ SAYISI: UÇ MAVİ ELEPHANT+METAL SİYAH 10+10 IMI:1+2:DD   ,KAYITLI,C:\Users\orcun\Desktop\codebase\instructions\Biofactor_Putty.txt
BFC,4,000,CDY0,#PR01##UC14#,BIOFACTOR ,KANAL DOLGU VE TAMIR MALZEMESI,BIOFACTOR MTA 7 DOSE (1x1g),IFU: E   UÇ SAYISI: UÇ SİYAH ELEPHANT+METAL SİYAH 10+10 IMI:1+2:CD   ,KAYITLI,C:\Users\orcun\Desktop\codebase\instructions\Biofactor_Putty.txt
BFC,4,000,CBY0,#PR01##UC12#,BIOFACTOR ,KANAL DOLGU VE TAMIR MALZEMESI,BIOFACTOR MTA 7 DOSE (1x1g),IFU: E   UÇ SAYISI: UÇ SİYAH ELEPHANT+METAL SİYAH 5+10 IMI:1+2:CB   ,KAYITLI,C:\Users\orcun\Desktop\codebase\instructions\Biofactor_Putty.txt
BFC,4,000,CCY0,#PR01##UC13#,BIOFACTOR ,KANAL DOLGU VE TAMIR MALZEMESI,BIOFACTOR MTA 7 DOSE (1x1g),IFU: E   UÇ SAYISI: UÇ SİYAH ELEPHANT+METAL SİYAH 10+5 IMI:1+2:CC   ,KAYITLI,C:\Users\orcun\Desktop\codebase\instructions\Biofactor_Putty.txt
BFC,4,000,DEY0,#PR01##UC20#,BIOFACTOR ,KANAL DOLGU VE TAMIR MALZEMESI,BIOFACTOR MTA 7 DOSE (1x1g),IFU: E   UÇ SAYISI: UÇ MAVİ ELEPHANT+METAL SİYAH 15+15 IMI:1+2:DE   ,KAYITLI,C:\Users\orcun\Desktop\codebase\instructions\Biofactor_Putty.txt
BFC,4,000,CEY0,#PR01##UC15#,BIOFACTOR ,KANAL DOLGU VE TAMIR MALZEMESI,BIOFACTOR MTA 7 DOSE (1x1g),IFU: E   UÇ SAYISI: UÇ SİYAH ELEPHANT+METAL SİYAH 15+15 IMI:1+2:CE   ,KAYITLI,C:\Users\orcun\Desktop\codebase\instructions\Biofactor_Putty.txt
BFC,4,000,DAY0,#PR01##UC16#,BIOFACTOR ,KANAL DOLGU VE TAMIR MALZEMESI,BIOFACTOR MTA 7 DOSE (1x1g),IFU: E   UÇ SAYISI: UÇ MAVİ ELEPHANT+METAL SİYAH 5+5 IMI:1+2:DA   ,KAYITLI,C:\Users\orcun\Desktop\codebase\instructions\Biofactor_Putty.txt
BFC,4,000,DCY0,#PR01##UC18#,BIOFACTOR ,KANAL DOLGU VE TAMIR MALZEMESI,BIOFACTOR MTA 7 DOSE (1x1g),IFU: E   UÇ SAYISI: UÇ MAVİ ELEPHANT+METAL SİYAH 10+5 IMI:1+2:DC   ,KAYITLI,C:\Users\orcun\Desktop\codebase\instructions\Biofactor_Putty.txt
BFC,4,000,DBY0,#PR01##UC17#,BIOFACTOR ,KANAL DOLGU VE TAMIR MALZEMESI,BIOFACTOR MTA 7 DOSE (1x1g),IFU: E   UÇ SAYISI: UÇ MAVİ ELEPHANT+METAL SİYAH 5+10 IMI:1+2:DB   ,KAYITLI,C:\Users\orcun\Desktop\codebase\instructions\Biofactor_Putty.txt
BFC,5,000,00Y0,#PR01#,BIOFACTOR ,KANAL DOLGU VE TAMIR MALZEMESI,BIOFACTOR MTA SYRINGE PUTTY 0.8G,IFU: E   ,KAYITLI,C:\Users\orcun\Desktop\codebase\instructions\Biofactor_Putty.txt
BFC,6,000,00Y0,#PR01#,BIOFACTOR ,KANAL DOLGU VE TAMIR MALZEMESI,BIOFACTOR MTA SYRINGE PUTTY 2X0.8 G,IFU: E   ,KAYITLI,C:\Users\orcun\Desktop\codebase\instructions\Biofactor_Putty.txt
BFC,7,000,00Y0,#PR01#,BIOFACTOR ,KANAL DOLGU VE TAMIR MALZEMESI,BIOFACTOR MTA SYRINGE PUTTY 3X0.8 G,IFU: E   ,KAYITLI,C:\Users\orcun\Desktop\codebase\instructions\Biofactor_Putty.txt
BFC,8,000,00Y0,#PR01#,BIOFACTOR ,KANAL DOLGU VE TAMIR MALZEMESI,BIOFACTOR MTA SYRINGE PUTTY 4X0.8 G,IFU: E   ,KAYITLI,C:\Users\orcun\Desktop\codebase\instructions\Biofactor_Putty.txt
BFC,9,000,BAY0,#PR01##UC06#,BIOFACTOR ,KANAL DOLGU VE TAMIR MALZEMESI,BIOFACTOR BIOSERAMIC SEALER SYRINGE FLOW 0.8 G,IFU: E   UÇ SAYISI: UÇ SİYAH ELEPHANT 5 IMI:1+2:BA   ,KAYITLI,C:\Users\orcun\Desktop\codebase\instructions\Biofactor_Putty.txt
BFC,9,000,BEY0,#PR01##UC10#,BIOFACTOR ,KANAL DOLGU VE TAMIR MALZEMESI,BIOFACTOR BIOSERAMIC SEALER SYRINGE FLOW 0.8 G,IFU: E   UÇ SAYISI: UÇ SİYAH ELEPHANT 25 IMI:1+2:BE   ,KAYITLI,C:\Users\orcun\Desktop\codebase\instructions\Biofactor_Putty.txt
BFC,9,000,BBY0,#PR01##UC07#,BIOFACTOR ,KANAL DOLGU VE TAMIR MALZEMESI,BIOFACTOR BIOSERAMIC SEALER SYRINGE FLOW 0.8 G,IFU: E   UÇ SAYISI: UÇ SİYAH ELEPHANT 10 IMI:1+2:BB   ,KAYITLI,C:\Users\orcun\Desktop\codebase\instructions\Biofactor_Putty.txt
BFC,9,000,AAY0,#PR01##UC01#,BIOFACTOR ,KANAL DOLGU VE TAMIR MALZEMESI,BIOFACTOR BIOSERAMIC SEALER SYRINGE FLOW 0.8 G,IFU: E   UÇ SAYISI: UÇ MAVİ ELEPHANT 5 IMI:1+2:AA   ,KAYITLI,C:\Users\orcun\Desktop\codebase\instructions\Biofactor_Putty.txt
BFC,9,000,BCY0,#PR01##UC08#,BIOFACTOR ,KANAL DOLGU VE TAMIR MALZEMESI,BIOFACTOR BIOSERAMIC SEALER SYRINGE FLOW 0.8 G,IFU: E   UÇ SAYISI: UÇ SİYAH ELEPHANT 15 IMI:1+2:BC   ,KAYITLI,C:\Users\orcun\Desktop\codebase\instructions\Biofactor_Putty.txt
BFC,9,000,BDY0,#PR01##UC09#,BIOFACTOR ,KANAL DOLGU VE TAMIR MALZEMESI,BIOFACTOR BIOSERAMIC SEALER SYRINGE FLOW 0.8 G,IFU: E   UÇ SAYISI: UÇ SİYAH ELEPHANT 20 IMI:1+2:BD   ,KAYITLI,C:\Users\orcun\Desktop\codebase\instructions\Biofactor_Putty.txt
BFC,9,000,AEY0,#PR01##UC05#,BIOFACTOR ,KANAL DOLGU VE TAMIR MALZEMESI,BIOFACTOR BIOSERAMIC SEALER SYRINGE FLOW 0.8 G,IFU: E   UÇ SAYISI: UÇ MAVİ ELEPHANT 25 IMI:1+2:AE   ,KAYITLI,C:\Users\orcun\Desktop\codebase\instructions\Biofactor_Putty.txt
BFC,9,000,ACY0,#PR01##UC03#,BIOFACTOR ,KANAL DOLGU VE TAMIR MALZEMESI,BIOFACTOR BIOSERAMIC SEALER SYRINGE FLOW 0.8 G,IFU: E   UÇ SAYISI: UÇ MAVİ ELEPHANT 15 IMI:1+2:AC   ,KAYITLI,C:\Users\orcun\Desktop\codebase\instructions\Biofactor_Putty.txt
BFC,9,000,ADY0,#PR01##UC04#,BIOFACTOR ,KANAL DOLGU VE TAMIR MALZEMESI,BIOFACTOR BIOSERAMIC SEALER SYRINGE FLOW 0.8 G,IFU: E   UÇ SAYISI: UÇ MAVİ ELEPHANT 20 IMI:1+2:AD   ,KAYITLI,C:\Users\orcun\Desktop\codebase\instructions\Biofactor_Putty.txt
BFC,9,000,ABY0,#PR01##UC02#,BIOFACTOR ,KANAL DOLGU VE TAMIR MALZEMESI,BIOFACTOR BIOSERAMIC SEALER SYRINGE FLOW 0.8 G,IFU: E   UÇ SAYISI: UÇ MAVİ ELEPHANT 10 IMI:1+2:AB   ,KAYITLI,C:\Users\orcun\Desktop\codebase\instructions\Biofactor_Putty.txt
BFC,10,000,BCY0,#PR01##UC08#,BIOFACTOR ,KANAL DOLGU VE TAMIR MALZEMESI,BIOFACTOR BIOCERAMIC SEALER SYRINGE FLOW 3X0.8 G,IFU: E   UÇ SAYISI: UÇ SİYAH ELEPHANT 15 IMI:1+2:BC   ,KAYITLI,C:\Users\orcun\Desktop\codebase\instructions\Biofactor_Putty.txt
BFC,10,000,BDY0,#PR01##UC09#,BIOFACTOR ,KANAL DOLGU VE TAMIR MALZEMESI,BIOFACTOR BIOCERAMIC SEALER SYRINGE FLOW 3X0.8 G,IFU: E   UÇ SAYISI: UÇ SİYAH ELEPHANT 20 IMI:1+2:BD   ,KAYITLI,C:\Users\orcun\Desktop\codebase\instructions\Biofactor_Putty.txt
BFC,10,000,BBY0,#PR01##UC07#,BIOFACTOR ,KANAL DOLGU VE TAMIR MALZEMESI,BIOFACTOR BIOCERAMIC SEALER SYRINGE FLOW 3X0.8 G,IFU: E   UÇ SAYISI: UÇ SİYAH ELEPHANT 10 IMI:1+2:BB   ,KAYITLI,C:\Users\orcun\Desktop\codebase\instructions\Biofactor_Putty.txt
